Date,Close,High,Low,Open,Volume
2021-01-04 00:00:00,6354.37207,6375.624151,6248.111668,6333.11999,8203000
2021-01-05 00:00:00,6269.363281,6375.623676,6269.363281,6354.371597,11869900
2021-01-06 00:00:00,6120.598633,6290.615262,6099.346554,6269.363183,24431200
2021-01-07 00:00:00,6120.598633,6163.10279,6056.842397,6120.598633,14692600
2021-01-08 00:00:00,6099.347168,6184.355491,6056.843007,6163.10341,24667000
2021-01-11 00:00:00,6120.598633,6248.111104,6035.590318,6099.346554,25591700
2021-01-12 00:00:00,6035.589844,6184.354382,6035.589844,6163.102305,20896700
2021-01-13 00:00:00,5971.833496,6120.598032,5950.58142,6120.598032,28188400
2021-01-14 00:00:00,5950.582031,6014.338267,5950.582031,5971.83411,27720000
2021-01-15 00:00:00,5908.077637,5993.085948,5886.825559,5950.581792,18780400
2021-01-18 00:00:00,6375.623535,6396.875614,5865.573652,5908.077809,44943900
2021-01-19 00:00:00,6439.379395,6800.664707,6396.87524,6630.648089,108575300
2021-01-20 00:00:00,6290.615234,6524.388098,6226.858999,6460.631862,34817000
2021-01-21 00:00:00,6226.858398,6375.622934,6226.858398,6290.614628,16702700
2021-01-22 00:00:00,6184.354492,6290.614879,6141.850338,6269.362801,14718800
2021-01-25 00:00:00,6163.102539,6226.858772,5971.83384,6184.354617,17025000
2021-01-26 00:00:00,6163.102539,6354.371239,6099.346306,6184.354617,17948000
2021-01-27 00:00:00,6056.841797,6248.110485,5993.085567,6226.858409,14628000
2021-01-28 00:00:00,6014.337891,6099.3462,5886.825427,6035.589968,20723700
2021-01-29 00:00:00,5886.825684,6141.850623,5865.573605,6014.338153,36432100
2021-02-01 00:00:00,5971.833496,6035.589726,5780.564808,5865.573114,15324400
2021-02-02 00:00:00,5950.582031,6056.842425,5908.077874,6035.590346,11678200
2021-02-03 00:00:00,6099.347168,6226.859652,5950.582603,6035.590926,16730800
2021-02-04 00:00:00,6205.606934,6226.859012,6099.346541,6163.102777,17606900
2021-02-05 00:00:00,6141.850098,6248.11048,6120.598021,6226.858404,11295000
2021-02-08 00:00:00,6035.589844,6163.102305,6035.589844,6141.850228,14010900
2021-02-09 00:00:00,6035.589844,6099.346074,5971.833613,6078.093998,10394200
2021-02-10 00:00:00,6078.094238,6078.094238,5971.83385,6078.094238,6019200
2021-02-11 00:00:00,6099.347168,6099.347168,6035.590926,6099.347168,3700200
2021-02-15 00:00:00,5993.085449,6099.34583,5971.833373,6099.34583,8252200
2021-02-16 00:00:00,5971.833496,6035.589726,5950.58142,6035.589726,11529000
2021-02-17 00:00:00,6035.589844,6035.589844,5929.329459,5950.581536,6980200
2021-02-18 00:00:00,5929.32959,6035.589977,5929.32959,6014.337899,11085900
2021-02-19 00:00:00,5908.077637,5929.329715,5865.573481,5929.329715,8791400
2021-02-22 00:00:00,5844.320801,5950.581179,5844.320801,5929.329103,14949100
2021-02-23 00:00:00,5823.069336,5886.82557,5780.56518,5865.573492,12860600
2021-02-24 00:00:00,5823.069336,5908.077647,5823.069336,5823.069336,10340700
2021-02-25 00:00:00,5759.313965,5865.57437,5738.061884,5823.070208,14021800
2021-02-26 00:00:00,5950.582031,5950.582031,5674.305008,5738.061244,26873400
2021-03-01 00:00:00,5801.817871,5950.582432,5780.565791,5950.582432,13054100
2021-03-02 00:00:00,5801.817871,5823.069951,5716.809551,5801.817871,17348900
2021-03-03 00:00:00,5844.320801,5865.572876,5759.312498,5801.81665,8276700
2021-03-04 00:00:00,5716.809082,5844.321552,5716.809082,5844.321552,10778200
2021-03-05 00:00:00,5716.809082,5738.06116,5674.304925,5695.557004,6029300
2021-03-08 00:00:00,5653.053223,5780.565701,5631.801143,5780.565701,10141900
2021-03-09 00:00:00,5568.044434,5695.556902,5504.2882,5695.556902,18687300
